"","cdatetime","district","crime_level","longitude","latitude","registry_number","sum_acomulated","mean_acomulated"
"328",2006-01-02,3,5,-121.4907608,38.57218405,328,1607,4.89939024390244
"329",2006-01-02,5,1,-121.4799768,38.49543922,329,1608,4.88753799392097
"330",2006-01-02,3,7,-121.4854271,38.57163324,330,1615,4.89393939393939
"331",2006-01-02,4,1,-121.504668,38.52736754,331,1616,4.8821752265861
"332",2006-01-02,4,7,-121.5084967,38.52062063,332,1623,4.88855421686747
"333",2006-01-02,2,1,-121.4392039,38.62635393,333,1624,4.87687687687688
"334",2006-01-02,3,5,-121.4747123,38.57320247,334,1629,4.87724550898204
"335",2006-01-02,3,6,-121.4827193,38.57411723,335,1635,4.88059701492537
"336",2006-01-02,1,5,-121.4925571,38.61421301,336,1640,4.88095238095238
"337",2006-01-02,2,4,-121.4604896,38.63939388,337,1644,4.87833827893175
"338",2006-01-02,3,7,-121.4806992,38.57725503,338,1651,4.88461538461539
"339",2006-01-02,2,1,-121.4593506,38.61692679,339,1652,4.87315634218289
"340",2006-01-02,3,7,-121.4642683,38.57218529,340,1659,4.87941176470588
"341",2006-01-02,3,4,-121.5052755,38.58245363,341,1663,4.87683284457478
"342",2006-01-02,4,4,-121.4959218,38.53284086,342,1667,4.87426900584795
"343",2006-01-02,6,2,-121.4468745,38.53553572,343,1669,4.86588921282799
"344",2006-01-02,4,5,-121.4923822,38.56159185,344,1674,4.86627906976744
"345",2006-01-02,3,8,-121.4856804,38.57240323,345,1682,4.87536231884058
"346",2006-01-02,1,2,-121.4755625,38.61124309,346,1684,4.86705202312139
"347",2006-01-02,4,5,-121.47576,38.54106323,347,1689,4.86743515850144
"348",2006-01-02,2,5,-121.4590542,38.60986284,348,1694,4.86781609195402
"349",2006-01-02,6,7,-121.4443687,38.542611,349,1701,4.87392550143267
"350",2006-01-02,3,7,-121.4986248,38.58052209,350,1708,4.88
"351",2006-01-02,5,3,-121.4891676,38.47764806,351,1711,4.87464387464387
"352",2006-01-02,1,4,-121.5102676,38.65735092,352,1715,4.87215909090909
"353",2006-01-02,2,3,-121.3815598,38.63862878,353,1718,4.86685552407932
